Genre,Title,Director,Date,Studio,IMDb Rating,Length,Budget,Gross($M),Profit,Profit%,US%,US($M),Overseas($M),Overseas%
animation,Inside Out,Pete Docter,6/19/15,Buena Vista Studios,8.8,102,175,266.6,91.6,52.3,185.1,69.4,81.5,30.6
action,Jurassic World,Colin Trevorrow,6/12/15,Universal,7.5,124,215,1245.9,1030.9,479.5,500.4,40.2,745.5,59.8
action,San Andreas,Brad Peyton,5/29/15,WB,6.6,114,110,441.2,331.2,301.1,142,32.2,299.2,67.8
action,Tomorrowland,Brad Bird,5/22/15,Buena Vista Studios,6.7,130,170,202.1,32.1,18.9,90.2,44.6,111.9,55.4
action,Mad Max: Fury Road,George Miller,5/15/15,WB,8.5,120,150,356.4,206.4,137.6,147.1,41.3,209.3,58.7
comedy,Pitch Perfect 2,Elizabeth Banks,5/15/15,Universal,6.9,115,29,276.9,247.9,854.8,181.1,65.4,95.9,34.6
action,Avengers: Age of Ultron,Joss Whedon,5/1/15,Buena Vista Studios,7.9,141,250,1371.6,1121.6,448.6,452.5,33,919.1,67
action,Furious 7,James Wan,4/3/15,Universal,7.6,137,190,1511.6,1321.6,695.6,351,23.2,1160.6,76.8
animation,Home,Tim Johnson,3/27/15,Fox,6.8,94,130,367.7,237.7,182.9,174.7,47.5,193,52.5
action,The Divergent Series: Insurgent,Robert Schwentke,3/20/15,Lionsgate/Summit,6.9,119,110,295.1,185.1,168.3,130,44.1,165.1,55.9
drama,Cinderella,Kenneth Branagh,3/13/15,Buena Vista Studios,7.3,105,95,539,444,467.4,200.3,37.2,338.7,62.8
drama,Fifty Shades of Grey,Sam Taylor-Wood,2/13/15,Universal,4.2,125,40,569.7,529.7,1324.3,166.2,29.2,403.5,70.8
action,Kingsman: The Secret Service,Matthew Vaughn,2/13/15,Fox,7.9,129,81,403.8,322.8,398.5,128.2,31.8,275.5,68.2
animation,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,2/6/15,Paramount Pictures,6.2,92,74,311.6,237.6,321.1,163,52.3,148.6,47.7
comedy,Paddington,Paul King,1/16/15,StudioCanal,7.3,95,55,259.5,204.5,371.8,76.2,29.4,183.3,70.6
action,Taken 3,Olivier Megaton,1/9/15,Fox,6.1,109,48,325.8,277.8,578.8,89.3,27.4,236.5,72.6
action,American Sniper,Clint Eastwood,12/25/14,WB,7.4,132,58,547.1,489.1,843.3,350.1,64,197,36
adventure,Into the Woods,Rob Marshall,12/25/14,Buena Vista Studios,6,125,50,212.9,162.9,325.8,128,60.1,84.9,39.9
adventure,Night at the Museum,Shawn Levy,12/19/14,Fox,6.4,98,127,574.5,447.5,352.4,250.9,43.7,323.6,56.3
adventure,Night at the Museum: Secret of the Tomb,Shawn Levy,12/19/14,Fox,6.3,98,127,360.4,233.4,183.8,113.7,31.6,246.6,68.4
adventure,The Hobbit: The Battle of the Five Armies,Peter Jackson,12/17/14,WB,7.5,144,250,955.1,705.1,282,255.1,26.7,700,73.3
action,Exodus: Gods and Kings,Ridley Scott,12/12/14,Fox,6.1,150,140,268,128,91.4,65,24.3,203,75.7
biography,The Imitation Game,Morten Tyldum,11/28/14,Weinstein Company,8.1,114,15,220,205,1366.7,91.1,41.4,128.9,58.6
animation,Penguins of Madagascar,Simon J. Smith,11/26/14,Fox,6.8,92,132,373.6,241.6,183,83.4,22.3,290.2,77.7
